,Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category
54,4625636,0,0,1,0,64,1,7,48,48,120481,5,1,0,2,0.0,0.46473000000000003,0.53527,5.0
55,4642415,3,0,0,2,24,1,3,76,76,14800,2,2,0,2,0.0,1.0,0.0,2.0
56,4664627,0,0,2,1,88,0,2,93,93,400000,1,1,0,2,1.0,0.0,0.0,6.0
57,4671852,3,0,2,2,16,0,5,149,149,62005,1,1,0,2,0.0,1.0,0.0,4.0
58,4697381,8,2,0,0,77,0,7,102,102,200000,1,1,0,2,0.0,0.863992,0.136008,5.0
59,4716222,10,0,1,0,44,0,3,135,135,36144,1,1,0,1,0.0,0.148258,0.851742,3.0
60,4716249,10,0,1,0,65,0,2,114,114,120481,1,2,0,1,0.0,0.0,1.0,5.0
61,4725852,0,0,2,0,84,0,3,95,95,55000,3,2,0,2,0.697257,0.302743,0.0,4.0
62,4746662,3,0,2,2,16,0,5,145,145,77507,1,1,0,2,0.0,1.0,0.0,4.0
63,4768009,3,0,0,2,81,1,6,52,52,1477,2,2,0,2,0.614943,0.38505700000000004,0.0,1.0
64,4783340,10,0,1,1,77,0,6,96,96,38554,5,5,0,0,0.268063,0.731937,0.0,3.0
65,4784063,8,2,0,0,74,0,7,102,102,300000,4,2,0,0,0.245079,0.6712600000000001,0.083661,6.0
66,4784411,7,0,0,0,90,0,8,68,68,41000,5,4,0,2,0.39645,0.553254,0.050296,3.0
67,4798697,3,0,0,2,7,0,10,90,90,20000,1,1,0,2,0.0,0.773438,0.22656199999999999,2.0
68,4806566,8,2,2,2,24,1,8,73,65,30000,1,1,0,2,0.0,0.14266099999999998,0.742112,3.0
69,4806813,2,0,2,0,70,0,10,106,106,462000,1,1,0,0,0.130806,0.26729899999999995,0.601896,6.0
70,4815830,2,0,1,0,89,0,7,61,61,697674,5,2,0,2,0.130719,0.7679739999999999,0.10130700000000001,7.0
71,4836120,8,2,0,2,24,1,9,18,17,100000,4,1,0,2,0.0,0.61236,0.365169,5.0
72,4840607,8,2,0,4,37,1,3,118,118,20,1,1,0,2,1.0,0.0,0.0,1.0
73,4840965,6,2,1,1,82,0,3,56,56,0,1,1,0,2,1.0,0.0,0.0,1.0
74,4845414,3,0,2,2,16,0,6,144,144,77507,1,1,0,2,0.0,0.9888809999999999,0.011119,4.0
75,4855023,8,2,2,2,89,0,6,84,84,101000,1,5,0,2,0.27023800000000003,0.18571400000000002,0.544048,5.0
76,4859307,0,0,1,0,69,0,7,52,52,85000,1,1,2,0,0.0,0.089866,0.910134,4.0
77,4859913,5,2,2,2,83,0,6,83,83,1999,1,1,0,2,1.0,0.0,0.0,1.0
78,4860010,5,2,2,2,83,0,7,90,90,15501,1,1,0,2,0.273836,0.726164,0.0,2.0
79,4863594,8,2,1,0,89,0,9,40,36,1204,1,3,0,0,0.283208,0.250627,0.365915,1.0
80,4866845,4,0,1,0,68,0,5,50,50,100000,4,1,0,2,0.28571399999999997,0.714286,0.0,5.0
81,4877787,10,0,1,2,69,0,10,103,73,26315,1,4,0,2,0.099613,0.42649899999999996,0.176015,3.0
82,4888061,5,2,0,2,28,0,4,103,103,50000,1,5,0,0,0.0,1.0,0.0,4.0
83,4888881,2,0,1,2,65,0,7,79,79,7349,1,1,0,0,0.0,0.197452,0.8025479999999999,1.0
84,4893862,2,0,1,2,24,1,10,42,36,36144,3,3,0,2,0.0,0.806604,0.044811000000000004,3.0
85,4901379,8,2,1,0,44,1,6,22,22,0,3,3,0,0,0.243243,0.081081,0.675676,1.0
86,4919993,8,2,0,0,89,0,3,82,82,100000,5,1,0,0,0.008568000000000001,0.991432,0.0,5.0
87,4920436,1,1,0,2,101,1,3,70,70,15000,3,3,0,2,0.251788,0.748212,0.0,2.0
88,4922985,8,2,1,0,80,0,3,91,91,100000,1,4,0,2,0.742857,0.257143,0.0,5.0
89,4931512,2,0,2,4,75,0,9,80,80,49000,5,1,0,2,0.204774,0.766332,0.028894,3.0
90,4931756,2,0,0,2,24,1,4,8,8,10000,1,5,0,2,0.0,0.916667,0.083333,2.0
91,4940297,8,2,0,2,83,0,2,87,87,10000,1,1,0,2,0.0,1.0,0.0,2.0
92,4947042,2,0,0,0,88,0,4,81,81,600000,3,5,3,0,0.170972,0.03075,0.7982779999999999,7.0
93,4947042,10,0,0,0,88,0,4,81,81,200000,3,5,3,0,0.170972,0.03075,0.7982779999999999,5.0
94,4950915,8,2,1,0,90,0,6,79,79,200000,5,2,0,0,0.746532,0.25346799999999997,0.0,5.0
95,4973508,5,2,1,0,89,0,3,80,80,200000,1,4,0,0,0.212312,0.787688,0.0,5.0
96,4973930,8,2,2,2,89,0,5,80,80,155014,1,1,0,2,0.394472,0.202261,0.40326599999999996,5.0
97,4983262,8,2,1,0,89,0,5,55,55,406976,1,1,0,0,0.150362,0.8496379999999999,0.0,6.0
98,4988063,8,2,2,2,16,0,3,152,152,77507,4,3,0,2,1.0,0.0,0.0,4.0
99,4991461,3,0,0,2,62,0,3,106,106,50000,5,1,0,2,0.670433,0.329567,0.0,4.0
100,4993177,5,2,1,2,84,0,4,84,84,20000,5,3,0,2,0.711058,0.28894200000000003,0.0,2.0
101,4995494,8,2,2,0,86,0,2,82,82,200000,5,1,0,2,1.0,0.0,0.0,5.0
102,4999381,8,2,0,0,79,0,6,88,88,160000,5,5,3,0,0.005688,0.9943120000000001,0.0,5.0
103,4999569,8,2,2,2,89,0,3,78,78,387536,1,2,0,2,0.520408,0.0,0.479592,6.0
104,5002505,8,2,0,2,95,1,10,73,69,200000,5,3,0,2,0.492435,0.29986199999999996,0.160935,5.0
105,5006266,5,2,0,0,26,0,16,108,108,20000,1,5,0,2,0.10370399999999999,0.8962959999999999,0.0,2.0
106,5006509,5,2,0,2,16,0,10,120,120,110000,1,2,0,0,0.040133999999999996,0.373746,0.58612,5.0
107,5019227,5,2,1,2,86,0,6,67,67,62790,3,1,0,2,0.0,0.269865,0.7301350000000001,4.0
108,5025801,0,0,0,0,84,1,5,75,75,120000,4,4,4,0,0.0,0.09042599999999999,0.901596,5.0
109,5029391,3,0,0,0,91,0,3,75,75,50001,1,4,0,0,0.833111,0.166889,0.0,4.0
110,5036297,3,0,2,2,91,0,3,27,27,46504,3,5,0,2,0.0,1.0,0.0,3.0
111,5036371,8,2,0,2,24,1,3,12,12,100000,4,1,0,2,0.0,1.0,0.0,5.0
112,5047569,7,0,0,0,16,0,6,149,149,110000,5,5,0,0,0.08115399999999999,0.109323,0.809524,5.0
113,5050425,8,2,2,0,82,0,3,83,83,0,5,5,0,0,0.31769000000000003,0.6823100000000001,0.0,1.0
114,5062197,10,0,1,2,38,0,6,118,118,394736,1,1,0,2,0.552453,0.430626,0.016919999999999998,6.0
115,5064140,3,0,0,2,47,0,5,108,108,15000,1,1,0,2,0.009225,0.990775,0.0,2.0
116,5066218,3,0,2,0,91,0,6,73,73,250000,1,1,0,0,0.18982100000000002,0.709766,0.100413,6.0
117,5066323,4,0,1,0,62,0,4,102,102,200000,4,4,0,2,0.186092,0.194907,0.619001,5.0
118,5066637,3,0,2,0,89,0,4,75,75,125000,1,4,0,0,0.269437,0.730563,0.0,5.0
119,5066812,3,0,0,2,79,1,2,85,85,10000,5,2,1,2,1.0,0.0,0.0,2.0
120,5075968,6,2,0,2,24,1,6,43,43,62325,5,5,4,2,0.098361,0.871194,0.030445,4.0
121,5079238,7,0,1,2,24,0,8,71,68,192771,5,4,0,2,0.097595,0.265912,0.596888,5.0
122,5079499,2,0,0,0,65,1,6,95,77,90000,1,1,0,0,0.227129,0.007361,0.569926,4.0
123,5085506,4,0,0,0,78,0,4,82,82,250000,5,5,0,0,0.0,1.0,0.0,6.0
124,5088525,10,0,2,1,101,1,8,62,42,806073,1,1,0,0,0.0,0.3906,0.28525100000000003,7.0
125,5097841,8,2,0,4,37,1,5,106,106,0,1,1,0,2,0.070489,0.9295110000000001,0.0,1.0
126,5098144,2,0,0,2,24,1,4,7,7,6406,1,1,0,2,0.0,0.614286,0.385714,1.0
127,5100024,0,0,2,0,93,1,4,70,68,74146,1,1,0,0,0.0,0.048780000000000004,0.9325680000000001,4.0
128,5100106,5,2,0,0,74,0,3,89,89,1,4,5,0,2,0.9920899999999999,0.007909999999999999,0.0,1.0
129,5103021,7,0,0,0,91,1,9,53,53,70000,1,2,0,2,0.0,0.097143,0.902857,4.0
130,5106639,8,2,1,0,77,0,6,72,72,348837,1,2,0,0,0.25104,0.7489600000000001,0.0,6.0
131,5110168,6,2,1,0,91,0,4,71,71,70000,5,1,0,0,0.830269,0.169731,0.0,4.0
132,5110178,3,0,1,0,62,0,3,100,100,250000,4,1,0,0,0.11900000000000001,0.8809999999999999,0.0,6.0
133,5114199,10,0,2,0,81,0,5,81,81,300000,1,2,0,2,0.378245,0.6217550000000001,0.0,6.0
134,5121063,10,0,2,0,135,1,5,27,25,36373,1,1,0,2,0.146617,0.552632,0.25188,3.0
135,5129823,2,0,0,2,24,1,3,4,4,10000,1,1,0,2,0.0,1.0,0.0,2.0
136,5135671,2,0,1,0,69,0,5,92,92,500000,1,2,0,2,0.035753,0.44853699999999996,0.51571,7.0
137,5144134,4,0,0,0,54,0,3,37,37,150000,4,1,0,2,1.0,0.0,0.0,5.0
138,5148497,10,0,1,0,44,1,11,69,58,110000,5,3,0,2,0.020408000000000003,0.141399,0.685131,5.0
139,5152885,8,2,0,0,81,0,7,72,72,250000,4,5,0,0,0.47977700000000006,0.520223,0.0,6.0
140,5153183,2,0,1,2,83,1,17,75,28,20229,1,5,0,0,0.214477,0.079088,0.079088,2.0
141,5153313,2,0,0,2,24,1,4,11,11,74100,2,1,0,2,0.0,0.741071,0.258929,4.0
142,5155606,8,2,0,0,78,0,3,82,82,100000,1,3,0,0,0.99271,0.0072900000000000005,0.0,5.0
143,5155608,6,2,0,0,45,1,8,68,59,0,5,1,0,2,0.666179,0.058565,0.136164,1.0
144,5159811,5,2,0,0,56,0,3,40,40,100000,5,5,0,2,1.0,0.0,0.0,5.0
145,5163083,3,0,0,2,24,1,5,4,4,29920,1,3,0,2,0.0,0.658537,0.243902,3.0
146,5163585,2,0,0,0,89,0,5,71,71,200000,1,1,4,0,0.349296,0.504225,0.146479,5.0
147,5163717,7,0,0,2,24,1,5,60,57,75000,1,3,0,0,0.84,0.115,0.0,4.0
148,5167485,5,2,0,0,91,0,3,69,69,100000,4,3,0,2,0.835277,0.164723,0.0,5.0
149,5171695,10,0,1,2,65,0,5,94,94,90000,5,4,0,2,0.764894,0.0,0.23510599999999998,4.0
150,5172747,2,0,0,2,24,1,4,44,44,60881,5,5,4,2,0.0,0.668966,0.331034,4.0
151,5175220,0,0,0,0,67,0,8,92,92,150000,4,4,4,0,0.064061,0.807818,0.128122,5.0
152,5178800,8,2,0,0,81,0,6,69,69,52000,1,2,0,0,0.195652,0.804348,0.0,4.0
153,5182073,4,0,0,0,57,0,3,103,103,300000,1,3,2,0,0.062439,0.9375610000000001,0.0,6.0
154,5183126,2,0,0,0,59,0,5,93,93,1000000,1,1,0,0,0.825994,0.174006,0.0,7.0
155,5186259,8,2,1,0,81,0,7,67,67,232558,4,5,0,2,0.7388060000000001,0.261194,0.0,5.0
156,5186871,5,2,0,0,67,0,3,92,92,0,4,5,0,2,0.0,0.210184,0.789816,1.0
157,5187244,1,1,0,2,81,0,9,74,74,42944,4,1,0,2,0.0,0.103495,0.8965049999999999,3.0
158,5190936,2,0,0,2,91,1,4,68,65,21787,1,2,1,2,0.0,0.929099,0.033973,2.0
159,5194074,8,2,2,0,91,0,3,68,68,250000,1,1,0,0,0.0,0.286136,0.713864,6.0
160,5194086,0,0,0,0,85,0,4,74,74,100000,1,5,4,2,0.009484999999999999,0.966125,0.024390000000000002,5.0
161,5194280,0,0,0,0,29,0,4,130,130,1000000,1,5,4,2,0.021555,0.326405,0.65204,7.0
162,5199347,3,0,0,2,24,1,3,4,4,25200,5,3,0,2,0.0,1.0,0.0,3.0
163,5207403,6,2,0,0,43,1,9,55,26,20000,4,4,0,2,0.0,0.040219,0.43327200000000005,2.0
164,5208236,5,2,2,2,24,1,4,38,38,23717,3,2,0,2,0.0,0.002639,0.997361,2.0
165,5211478,7,0,2,1,74,0,5,85,85,50000,5,2,0,0,0.553846,0.446154,0.0,4.0
166,5213986,10,0,1,2,44,0,3,115,115,50000,1,4,0,2,0.723144,0.276856,0.0,4.0
167,5214972,7,0,1,1,44,1,3,37,37,13046,5,4,4,2,1.0,0.0,0.0,2.0
168,5215116,4,0,2,2,81,0,4,57,57,250000,1,1,0,2,0.0,1.0,0.0,6.0
169,5222827,3,0,1,0,81,0,3,35,35,42168,5,1,0,0,1.0,0.0,0.0,3.0
170,5223163,5,2,0,2,16,0,9,114,114,20000,3,4,0,2,0.0,1.0,0.0,2.0
171,5223508,2,0,0,2,24,1,10,50,42,57000,5,4,0,2,0.004016,0.787149,0.054216999999999994,4.0
172,5223820,3,0,1,0,87,0,3,71,71,11627,5,1,0,0,0.28470300000000004,0.7152970000000001,0.0,2.0
173,5224176,2,0,2,0,77,0,6,79,79,410000,1,1,0,2,0.050825999999999996,0.733164,0.21600999999999998,6.0
174,5227297,5,2,0,2,90,0,5,64,64,0,1,1,0,2,0.017107,0.982893,0.0,1.0
175,5227857,7,0,1,0,87,0,2,71,71,52000,5,1,0,2,0.0,0.0,1.0,4.0
176,5230385,0,0,1,1,68,0,3,90,90,350000,1,3,0,0,0.27120500000000003,0.728795,0.0,6.0
177,5230588,7,0,0,0,67,0,6,91,91,300000,5,1,4,0,0.31758200000000003,0.42967,0.252747,6.0
178,5230833,2,0,0,2,24,1,9,50,49,23000,4,5,0,0,0.0,0.0,0.9838379999999999,2.0
179,5234728,9,3,0,0,78,0,3,80,80,150000,1,3,0,1,0.908407,0.091593,0.0,5.0
180,5238997,6,2,0,2,60,0,6,75,75,20000,3,4,0,2,0.0,1.0,0.0,2.0
181,5239008,2,0,1,2,5,0,7,146,1,174418,5,3,0,2,0.001369,0.000684,0.0034219999999999997,5.0
182,5246828,5,2,0,0,41,0,3,116,116,180000,3,3,0,2,0.482699,0.517301,0.0,5.0
183,5250114,0,0,2,0,83,0,3,74,74,75000,3,3,1,0,0.0,0.283019,0.7169810000000001,4.0
184,5250799,5,2,2,2,83,0,2,74,74,7750,1,3,0,2,1.0,0.0,0.0,1.0
185,5253770,6,2,0,0,89,0,3,67,67,100000,5,3,0,0,0.5096579999999999,0.490342,0.0,5.0
186,5257310,5,2,2,0,65,0,4,29,29,200000,1,1,0,2,0.842657,0.157343,0.0,5.0
187,5257569,7,0,2,0,120,1,4,36,36,634600,1,1,0,0,0.730769,0.137363,0.131868,7.0
188,5266011,4,0,0,0,66,0,3,90,90,122699,1,2,0,2,0.850664,0.149336,0.0,5.0
189,5269347,0,0,2,0,128,1,3,28,28,70000,1,1,2,1,0.0,0.8309860000000001,0.169014,4.0
190,5269624,0,0,0,0,74,0,7,82,82,100000,4,5,4,0,0.021871,0.8626969999999999,0.11543099999999999,5.0
191,5270002,8,2,0,0,58,0,4,99,99,120000,4,4,0,0,0.005071,0.17647100000000002,0.818458,5.0
192,5273872,8,2,0,0,91,0,5,55,55,0,1,1,0,0,0.0,0.829982,0.170018,1.0
193,5274180,6,2,2,2,48,0,15,88,55,46504,1,1,0,2,0.0,0.63242,0.0,3.0
194,5277913,5,2,0,0,17,0,8,139,139,160000,1,5,4,2,0.259366,0.18371800000000002,0.556916,5.0
195,5278102,5,2,1,2,23,1,4,35,0,235000,2,2,0,2,0.0,0.0028899999999999998,0.0,5.0
196,5278166,0,0,0,2,23,1,3,26,26,10000,2,2,0,2,0.0,1.0,0.0,2.0
197,5282090,2,0,1,0,91,1,7,64,59,24000,5,1,0,2,0.296584,0.343168,0.281056,2.0
198,5282485,2,0,0,2,91,1,4,64,46,24545,1,1,2,2,0.0,0.404355,0.31259699999999996,2.0
199,5285299,5,2,0,0,88,0,9,58,58,0,5,1,2,0,0.376936,0.366609,0.256454,1.0
200,5285363,5,2,2,0,68,1,5,36,30,143752,5,5,0,1,0.0,0.137363,0.681319,5.0
201,5285722,8,2,2,2,62,0,5,94,46,62005,4,5,0,2,0.255342,0.232906,0.0,4.0
202,5287936,5,2,2,2,85,0,2,71,71,11626,1,1,0,2,1.0,0.0,0.0,2.0
203,5289097,5,2,0,0,88,0,6,67,67,120000,1,1,0,2,0.059701,0.9223879999999999,0.01791,5.0
204,5290783,8,2,0,0,90,0,5,65,65,120000,4,5,0,2,0.0,0.143951,0.856049,5.0
205,5294520,4,0,2,0,90,0,6,65,65,200000,1,1,0,1,0.5362100000000001,0.208012,0.255778,5.0
206,5301156,3,0,0,0,16,0,2,138,138,50000,5,4,0,2,1.0,0.0,0.0,4.0
207,5301318,2,0,0,0,90,0,4,65,65,30000,4,5,0,2,0.9304479999999999,0.069552,0.0,3.0
208,5304281,3,0,1,0,82,0,6,72,72,23255,4,3,0,0,0.23578400000000002,0.343967,0.42025,2.0
209,5307859,5,2,0,0,89,0,5,23,23,30000,1,4,0,2,0.230435,0.7695649999999999,0.0,3.0
210,5314901,10,0,2,1,25,1,7,17,15,633000,5,5,0,0,0.48214300000000004,0.14285699999999998,0.23809499999999997,7.0
211,5315381,5,2,0,0,43,1,6,50,47,68098,5,3,0,0,0.291165,0.477912,0.172691,4.0
212,5315435,2,0,2,0,87,0,7,66,66,465000,5,5,0,2,0.364188,0.635812,0.0,6.0
213,5315572,8,2,1,0,68,0,6,64,64,250000,1,4,0,0,0.9266770000000001,0.073323,0.0,6.0
214,5315702,5,2,2,2,83,0,2,71,71,7750,1,1,0,2,1.0,0.0,0.0,1.0
215,5315735,5,2,2,2,89,0,3,65,65,46504,1,1,0,2,0.721109,0.278891,0.0,3.0
216,5315855,5,2,2,2,53,0,2,101,101,7750,3,3,0,2,1.0,0.0,0.0,1.0
217,5324294,10,0,0,0,58,0,5,46,46,10000,3,4,0,2,0.40262600000000004,0.260394,0.33698,2.0
218,5324411,2,0,2,0,36,1,5,34,34,23000,5,4,0,1,0.0,0.414925,0.585075,2.0
219,5331603,5,2,0,0,68,0,4,86,86,51000,5,1,4,0,0.2,0.48538000000000003,0.31461999999999996,4.0
220,5331736,5,2,0,2,58,0,6,87,87,20000,2,2,0,2,0.8959540000000001,0.104046,0.0,2.0
221,5333972,3,0,0,0,89,0,2,64,64,55000,5,1,0,2,1.0,0.0,0.0,4.0
222,5337931,7,0,0,2,81,0,9,47,47,30674,5,3,0,2,0.809725,0.021141999999999998,0.169133,3.0
223,5340622,3,0,1,0,88,0,4,65,65,325301,1,1,0,2,0.643077,0.356923,0.0,6.0
224,5341048,6,2,0,0,7,0,4,146,146,130000,5,5,0,1,0.00206,0.320742,0.677198,5.0
225,5341206,6,2,0,0,45,1,6,42,39,4498,3,1,0,2,0.019093000000000002,0.319809,0.596659,1.0
226,5341332,5,2,1,2,45,0,8,95,95,29069,5,2,0,2,0.0,0.627368,0.372632,3.0
227,5345905,3,0,0,2,23,1,4,36,36,61200,3,3,0,2,0.0,0.30640700000000004,0.693593,4.0
228,5348582,2,0,0,0,43,1,11,65,65,31919,5,4,3,2,0.8705700000000001,0.0,0.12943,3.0
229,5348590,5,2,0,0,35,0,3,118,118,150000,3,5,0,0,0.348639,0.651361,0.0,5.0
230,5351597,8,2,0,0,90,0,2,63,63,170000,3,1,0,0,0.0,1.0,0.0,5.0
231,5351884,5,2,0,0,81,0,4,72,72,200000,5,1,0,0,0.8842399999999999,0.11575999999999999,0.0,5.0
232,5357385,5,2,1,2,84,0,4,69,69,74999,4,1,0,2,0.9080290000000001,0.091971,0.0,4.0
233,5360412,8,2,2,1,72,0,6,15,15,77507,1,5,0,0,0.7905409999999999,0.0,0.209459,4.0
234,5360997,3,0,0,2,24,1,12,23,14,154000,5,4,0,0,0.0,0.008889,0.626667,5.0
235,5361021,3,0,0,2,47,0,7,100,100,15000,3,3,0,1,0.004016,0.995984,0.0,2.0
236,5361225,4,0,1,0,48,0,3,102,102,98795,3,2,0,2,1.0,0.0,0.0,4.0
237,5363591,1,1,0,0,27,1,9,104,98,173257,1,5,4,2,0.809387,0.130268,0.000958,5.0
238,5363612,8,2,0,0,91,0,5,61,61,245398,4,4,0,0,0.263844,0.736156,0.0,5.0
239,5366876,2,0,0,0,20,0,14,125,125,100000,1,5,0,0,0.030302999999999997,0.623604,0.346093,5.0
240,5369435,4,0,0,0,85,0,2,67,67,185000,2,4,0,0,0.0,0.0,1.0,5.0
241,5373563,2,0,0,1,90,1,4,32,13,468189,2,5,0,2,0.0,0.0,0.385802,6.0
242,5377214,7,0,0,0,91,0,2,61,61,60000,3,4,0,0,0.0,1.0,0.0,4.0
243,5377721,5,2,2,2,33,0,3,26,26,15501,1,1,0,2,1.0,0.0,0.0,2.0
244,5380129,8,2,2,0,80,0,6,71,71,50000,2,5,0,0,0.139045,0.172753,0.6882020000000001,4.0
245,5380249,7,0,2,1,75,0,5,67,67,20000,4,2,0,2,0.0,0.9759760000000001,0.024024,2.0
246,5380500,5,2,2,2,87,0,7,65,58,170516,1,1,0,2,0.388889,0.043210000000000005,0.46450600000000003,5.0
247,5382666,7,0,0,0,76,0,6,75,75,100000,5,4,0,2,0.183024,0.697613,0.11936300000000001,5.0
